SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
489,101-HYDERABAD,470196-Kendriya Vidyalaya,51,224,41,183,2,39,18.3,0.89
490,107-DELHI,270183-Vanasthali Public School,52,223,223,0,202,21,100,90.58
491,118-GANDHINAGAR,040037-Shree Swaminarayan Academy,47,223,223,0,149,74,100,66.82
492,102-PUNE,280005-Vivekanand Vidyalaya,40,223,223,0,223,0,100,100
493,103-KOLKATA,220010-St. Teresa's Secondary School,51,222,217,5,17,200,97.75,7.66
494,120-RANCHI,260171-S.s. +2 High School,55,222,0,222,0,0,0,0
495,109-JAIPUR,170390-Vikram Shikshan Sansthan Sr.Sec.Sch,48,222,222,0,56,166,100,25.23
496,107-DELHI,270291-Maharaja Aggarsain Public School,49,220,220,0,141,79,100,64.09
497,123-GANGTOK,220079-Godwin Modern School,42,218,218,0,197,21,100,90.37
498,105-CHANDIGARH,160022-Punjab Model Sr. Sec School,43,217,216,1,212,4,99.54,97.7
499,117-BENGALURU,M08016-St. John's High School,48,217,217,0,209,8,100,96.31
500,109-JAIPUR,170278-Jagriti Senior Secondary School,49,216,202,14,114,88,93.52,52.78
501,107-DELHI,050473-S.d. Senior Secondary School,50,216,216,0,216,0,100,100
502,123-GANGTOK,180004-Deorali Govt.sr.sec. School,51,215,215,0,171,44,100,79.53
503,118-GANDHINAGAR,040075-Shannen Kids School,48,215,214,1,134,80,99.53,62.33
504,115-BHUBANESWAR,150202-MAHAMAYA JR. COLLEGE,40,214,113,101,89,24,52.8,41.59
505,107-DELHI,270006-St. Francis De Sales Sr.sec. School,46,213,213,0,154,59,100,72.3
506,103-KOLKATA,220016-St. James High School,48,213,194,19,155,39,91.08,72.77
507,104-GUWAHATI,020076-Bishnu Rabha High School,48,211,211,0,145,66,100,68.72
508,107-DELHI,M27488-Kalgidhar Khalsa Sr. Sec. School,46,210,209,1,204,5,99.52,97.14
509,114-DEHRADUN,340192-Jimp Pioneer School,42,210,210,0,209,1,100,99.52
510,107-DELHI,270401-Cosmos School,46,210,0,210,0,0,0,0
511,105-CHANDIGARH,050026-New Era Senior Secondary School,53,210,210,0,210,0,100,100
512,109-JAIPUR,170354-OM VIDYA MANDIR SR. SEC. SCHOOL,47,209,209,0,128,81,100,61.24
513,114-DEHRADUN,340143-Mahesha Nand  Bahuguna Inter,45,209,209,0,209,0,100,100
514,113-BHOPAL,100055-Bharat Mata Hr.sec.school,42,208,205,3,205,0,98.56,98.56
515,105-CHANDIGARH,050169-Maharishi Vidya Mandir,48,206,205,1,205,0,99.51,99.51
516,105-CHANDIGARH,050660-R.K. International School,49,205,205,0,205,0,100,100
517,117-BENGALURU,M08021-Deffodils High School,38,205,205,0,177,28,100,86.34
518,111-ALLAHABAD/PRAYAGRAJ,M21353-Saint Kabir Inter College,52,205,205,0,205,0,100,100
519,107-DELHI,M27402-St.marys School,40,205,205,0,203,2,100,99.02
520,121-CHENNAI,450011-The Spastic Society Of Tamilnadu,47,204,190,14,190,0,93.14,93.14
521,107-DELHI,270501-NATHU RAM CONVENT SCHOOL,45,203,200,3,43,157,98.52,21.18
